report	result	duration_s	commits	changed_lines	sessions	input	cached_input	output	reasoning_output	input_plus_output	status
parallel-baseline-9-20260623T083811+0200/first-3/run-1/20260623T083811+0200-first3-r1-three-feature-bench.md	pass	2970	2	616	6	12401189	11492352	78674	43258	12479863	ok
parallel-baseline-9-20260623T083811+0200/first-3/run-2/20260623T083811+0200-first3-r2-three-feature-bench.md	pass	1933	3	639	7	15064595	13854208	93549	51884	15158144	ok
parallel-baseline-9-20260623T083811+0200/first-3/run-3/20260623T083811+0200-first3-r3-three-feature-bench.md	pass	1747	3	571	7	12139894	10946432	80868	44532	12220762	ok
parallel-baseline-9-20260623T083811+0200/remaining-6/run-4/20260623T083811+0200-remaining6-r4-three-feature-bench.md	pass	1703	3	728	7	15890024	14668928	76385	35473	15966409	ok
parallel-baseline-9-20260623T083811+0200/remaining-6/run-5/20260623T083811+0200-remaining6-r5-three-feature-bench.md	pass	2345	3	742	7	15061459	13678208	101544	57795	15163003	ok
parallel-baseline-9-20260623T083811+0200/remaining-6/run-6/20260623T083811+0200-remaining6-r6-three-feature-bench.md	pass	1639	3	672	7	12626994	11487616	85107	45089	12712101	ok
parallel-baseline-9-20260623T083811+0200/remaining-6/run-7/20260623T083811+0200-remaining6-r7-three-feature-bench.md	pass	1845	3	792	7	13998903	12834304	99438	57577	14098341	ok
parallel-baseline-9-20260623T083811+0200/remaining-6/run-8/20260623T083811+0200-remaining6-r8-three-feature-bench.md	pass	1849	2	583	6	11083442	9627008	93182	56162	11176624	ok
parallel-baseline-9-20260623T083811+0200/remaining-6/run-9/20260623T083811+0200-remaining6-r9-three-feature-bench.md	pass	1844	3	502	7	13264609	11988352	71125	36447	13335734	ok
parallel-extra-6-20260623T105409+0200/runs/run-1/20260623T105409+0200-extra6-r1-three-feature-bench.md	pass	1960	2	603	6	12705921	11810304	80632	44900	12786553	ok
parallel-extra-6-20260623T105409+0200/runs/run-2/20260623T105409+0200-extra6-r2-three-feature-bench.md	pass	1678	2	608	6	10900281	10036352	68823	38901	10969104	ok
parallel-extra-6-20260623T105409+0200/runs/run-3/20260623T105409+0200-extra6-r3-three-feature-bench.md	pass	1971	3	597	7	13277124	12129408	89266	49346	13366390	ok
parallel-extra-6-20260623T105409+0200/runs/run-5/20260623T105409+0200-extra6-r5-three-feature-bench.md	pass	1966	3	609	7	14503057	13244160	78425	39388	14581482	ok
parallel-extra-6-20260623T105409+0200/runs/run-6/20260623T105409+0200-extra6-r6-three-feature-bench.md	pass	1795	3	689	7	13073511	12161152	80984	43852	13154495	ok
parallel-baseline-6-20260623T135939+0200/runs/run-1/20260623T135939+0200-baseline6-r1-three-feature-bench.md	pass	1902	2	445	6	11992068	11137024	82192	44898	12074260	ok
parallel-baseline-6-20260623T135939+0200/runs/run-2/20260623T135939+0200-baseline6-r2-three-feature-bench.md	pass	1908	3	530	7	13405333	12498560	77452	43772	13482785	ok
parallel-baseline-6-20260623T135939+0200/runs/run-3/20260623T135939+0200-baseline6-r3-three-feature-bench.md	pass	1792	3	653	7	10613212	9732608	90435	52035	10703647	ok
parallel-baseline-6-20260623T135939+0200/runs/run-4/20260623T135939+0200-baseline6-r4-three-feature-bench.md	pass	1701	3	584	7	11496122	10629376	75487	42869	11571609	ok
parallel-baseline-6-20260623T135939+0200/runs/run-5/20260623T135939+0200-baseline6-r5-three-feature-bench.md	pass	1538	2	646	6	9956020	9199104	65114	32236	10021134	ok
parallel-baseline-6-20260623T135939+0200/runs/run-6/20260623T135939+0200-baseline6-r6-three-feature-bench.md	pass	1765	3	549	7	15145231	14112896	74206	39601	15219437	ok
